Statistical profiling result from isolate-0x102802a00-v8.log, (494 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    3.8%      LazyCompile: ~arrayOfNumbers /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:3:25
      1  100.0%        Script: ~<anonymous> /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:1:11
      1  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:650:37
      1  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:698:37

     19    3.8%  t _szone_malloc_should_clear
     18   94.7%    T v8::internal::Builtin_ArrayPush(int, v8::internal::Object**, v8::internal::Isolate*)
     18  100.0%      LazyCompile: *arrayOfNumbers /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:3:25
     18  100.0%        Script: ~<anonymous> /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:1:11
     18  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:650:37
     18  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:698:37

     19    3.8%  Builtin: KeyedStoreIC_Megamorphic
     19  100.0%    LazyCompile: *ArrayPushFallback native array.js:298:27
     19  100.0%      Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
     19  100.0%        LazyCompile: *arrayOfNumbers /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:3:25
     19  100.0%          Script: ~<anonymous> /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:1:11
     19  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:650:37

     18    3.6%  T v8::internal::Factory::NewFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::Object*, v8::internal::PretenureFlag)
     17   94.4%    T v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     17  100.0%      LazyCompile: *ArrayPushFallback native array.js:298:27
     17  100.0%        Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
     17  100.0%          LazyCompile: *arrayOfNumbers /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:3:25
     17  100.0%            Script: ~<anonymous> /Users/sergiomarin/Proyectos/perezoso-js/lazy.js:1:11
      1    5.6%    T v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      1  100.0%      Script: ~<anonymous> internal/async_hooks.js:1:11
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:301:44
      1  100.0%          LazyCompile: ~NativeModule.require internal/bootstrap/loaders.js:148:34
      1  100.0%            LazyCompile: ~setupProcessFatal internal/bootstrap/node.js:477:29

